raceId,driverId,vueltas_totales,tiempo_vuelta_promedio_seg,tiempo_vuelta_mas_rapida_seg,paradas_totales,tiempo_total_boxes_seg,tiempo_promedio_parada_seg
1021,825,69,83.80810144927536,81.008,1.0,21.618,21.618
1021,826,68,83.95564705882353,81.932,1.0,23.002,23.002
1021,830,70,81.73702857142857,77.103,2.0,42.869,21.4345
1021,832,69,83.05972463768116,81.002,1.0,21.832,21.832
1021,840,68,84.81575,80.603,2.0,43.647999999999996,21.823999999999998
1021,841,68,84.95088235294118,83.134,1.0,23.218,23.218
1021,842,69,83.07991304347826,81.045,1.0,22.104,22.104
1021,844,70,82.41494285714286,80.493,1.0,21.575,21.575
1021,846,69,83.20560869565217,81.188,1.0,26.066,26.066
1021,847,68,84.76030882352941,82.386,1.0,21.333,21.333
1021,848,69,83.6278695652174,80.621,1.0,23.676,23.676
1022,1,44,114.24297727272727,106.58,1.0,23.497,23.497
1022,8,43,117.8936511627907,108.753,3.0,90.942,30.313999999999997
1022,9,43,117.99909302325581,109.22,1.0,24.247,24.247
1022,20,44,114.82118181818183,106.409,2.0,45.649,22.8245
1022,154,43,117.19506976744186,109.274,1.0,22.912,22.912
1022,807,44,116.64429545454546,108.349,2.0,46.475,23.2375
1022,815,44,116.13995454545454,108.781,1.0,23.133,23.133
1022,817,43,117.40618604651164,110.451,1.0,27.62,27.62
1022,822,44,114.50670454545454,106.465,1.0,22.579,22.579
1022,825,43,117.03279069767441,108.677,1.0,22.584,22.584
1022,826,44,116.25834090909092,108.143,1.0,22.834,22.834
1022,832,1,194.682,194.682,1.0,59.291,59.291
1022,840,44,116.717,108.357,2.0,48.024,24.012
1022,841,42,116.7332619047619,107.56,1.0,23.044,23.044
1022,842,44,116.70177272727273,109.7,1.0,22.772,22.772
1022,844,44,114.22068181818182,106.664,1.0,22.449,22.449
1022,846,43,115.8313488372093,108.321,1.0,23.182,23.182
1022,847,43,117.61053488372093,108.86,1.0,22.442,22.442
1022,848,44,116.06897727272728,107.507,1.0,22.506,22.506
1023,1,53,86.07290566037736,81.779,2.0,47.643,23.8215
